名前,リンク
アンドロメダ座,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%AD%E3%83%A1%E3%83%80%E5%BA%A7
いっかくじゅう座,https://ja.wikipedia.org/wiki/%E3%81%84%E3%81%A3%E3%81%8B%E3%81%8F%E3%81%98%E3%82%85%E3%81%86%E5%BA%A7
いて座,https://ja.wikipedia.org/wiki/%E3%81%84%E3%81%A6%E5%BA%A7
いるか座,https://ja.wikipedia.org/wiki/%E3%81%84%E3%82%8B%E3%81%8B%E5%BA%A7
インディアン座,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A2%E3%83%B3%E5%BA%A7
うお座,https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%8A%E5%BA%A7
うさぎ座,https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%95%E3%81%8E%E5%BA%A7
うしかい座,https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%97%E3%81%8B%E3%81%84%E5%BA%A7
うみへび座,https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%BF%E3%81%B8%E3%81%B3%E5%BA%A7
エリダヌス座,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AA%E3%83%80%E3%83%8C%E3%82%B9%E5%BA%A7
おうし座,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%86%E3%81%97%E5%BA%A7
おおいぬ座,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%8A%E3%81%84%E3%81%AC%E5%BA%A7
おおかみ座,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%8A%E3%81%8B%E3%81%BF%E5%BA%A7
おおぐま座,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%8A%E3%81%90%E3%81%BE%E5%BA%A7
おとめ座,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%A8%E3%82%81%E5%BA%A7
おひつじ座,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%B2%E3%81%A4%E3%81%98%E5%BA%A7
オリオン座,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AA%E3%82%AA%E3%83%B3%E5%BA%A7
がか座,https://ja.wikipedia.org/wiki/%E3%81%8C%E3%81%8B%E5%BA%A7
カシオペヤ座,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%82%B7%E3%82%AA%E3%83%9A%E3%83%A4%E5%BA%A7
かじき座,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%98%E3%81%8D%E5%BA%A7
かに座,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%AB%E5%BA%A7
かみのけ座,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%BF%E3%81%AE%E3%81%91%E5%BA%A7
カメレオン座,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%A1%E3%83%AC%E3%82%AA%E3%83%B3%E5%BA%A7
からす座,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%82%89%E3%81%99%E5%BA%A7
